89,28
150,996
143,854
1103,206
1256,872
1549,602
2020,811
2173,273
59,454
155,508
3299,520
70,274
9171,579
3324,123
7266,294
4301,513
90,264
2819,615
165,667
663,775
112,624
1100,479
331,17
1919,806
283,113
2357,606
377,959
191,679
129,263
229,134
60,526
637,853
776,671
1639,35
2577,825
2457,811
1044,414
1241,381
180,463
124,75
544,123
984,407
1107,79
1524,208
1843,552
2198,121
2111,175
66,152
272,310
71,308
50,637
161,76
837,622
2284,906
2419,309
2441,344
3080,948
3179,659
171,183
402,368
506,150
770,896
910,262
1815,447
2673,599
2772,766
3395,788
4800,894
96,329
102,387
146,828
1299,672
608,856
38,555
3131,673
4227,794
4138,706
4802,824
66,181
150,762
89,758
777,710
857,437
1177,552
1782,219
1906,976
216,87
71,132
101,848
1866,140
206,319
7790,769
2400,108
3059,487
57,492
48,425
9522,262
294,30
9928,940
9995,477
2068,800
1716,795
2587,738
2910,393
68,808
51,657
531,65
1659,44
1036,297
1200,328
1863,150
3186,917
3295,466
2351,978
19,57
34,575
255,966
19,52
644,371
802,432
1929,870
1360,973
61,194
116,604
16,654
1635,460
81,491
52,210
1871,359
44,182
55,14
282,526
17,324
97,339
262,505
102,116
368,644
920,605
1665,460
1629,788
116,781
91,851
196,20
1579,172
49,154
18,866
14,7
304,940
484,914
938,871
1403,903
70,322
17,148
68,529
36,308
22,654
548,823
428,600
786,371
856,230
981,6
1853,445
1843,673
2016,949
127,606
22,851
297,556
458,82
311,281
416,361
1653,806
1404,63
36,793
205,948
456,765
634,458
1500,907
1366,180
1592,45
1613,493
77,564
84,623
275,223
9081,978
10201,850
13785,516
8072,505
8559,321
9265,290
375,258
88,246
137,507
22,222
60,642
402,119
1094,535
1430,638
2568,677
4135,775
4814,769
535,944
72,345
61,611
57,264
37,703
6682,672
4973,924
6135,438
3814,132
3466,14
5821,635
6840,361
231,356
162,292
300,102
3936,500
4367,392
6289,833
6434,720
5904,421
7005,415
4573,956
64,466
106,598
50,111
15,740
1029,345
1040,841
1717,832
1844,840
