139,497
216,56
326,753
1253,573
86,107
98,125
168,961
105,708
841,874
830,676
97,362
105,151
67,690
485,640
1042,439
1244,891
1165,47
198,420
2566,693
2086,785
75,775
128,564
987,608
1223,348
2786,56
2569,69
2863,488
3322,819
2503,868
120,45
1024,756
573,679
8674,907
2068,527
2443,375
2657,420
3191,449
54,282
93,341
132,908
207,802
3012,486
3056,229
2969,626
3109,506
3227,29
1588,467
2091,338
2185,210
89,580
64,717
71,327
1417,913
1162,442
180,820
1787,398
2496,877
3627,579
3899,955
610,752
32,194
703,547
54,531
74,919
56,603
55,678
1043,836
52,216
43783,906
300,603
301,300
349,492
570,460
1040,953
163,381
5555,988
5689,98
5846,485
3840,271
156,110
527,776
649,288
488,249
791,477
1323,962
1956,253
1766,523
2565,273
3065,443
172,483
46,226
90,962
150,239
101,745
1602,162
1935,32
2128,443
1593,985
3542,475
608,266
65,700
957,27
45,530
64,390
1639,490
1918,687
2069,902
2039,27
2205,437
724,59
210,751
20,136
1081,262
1072,133
1722,298
1386,536
3526,759
3383,349
3439,382
183,239
663,310
1392,304
72,762
73,84
1681,130
2023,856
3468,831
3672,813
1962,848
65,267
25,250
43,13
99,510
911,535
1595,755
2085,805
2426,482
2471,548
155,631
37,469
654,360
160,470
671,821
555,317
782,616
1053,367
2083,901
1930,463
203,505
212,289
278,343
375,323
573,276
530,114
847,927
1307,996
308,25
313,447
153,418
524,150
50,756
464,398
365,243
439,667
1153,947
1446,723
112,814
43,535
130,110
214,788
23,104
821,356
523,723
658,417
1628,446
1286,685
990,916
1193,730
201,39
108,399
234,410
3396,909
2989,539
3107,703
2931,98
5289,776
4312,697
8687,425
64,43
80,467
4275,901
6766,913
7098,637
8204,164
9014,622
160,974
433,626
774,253
741,254
1330,440
1422,359
1869,369
2138,219
4845,516
2686,433
198,734
1627,319
2409,509
1907,487
2517,406
2290,475
3512,217
10982,528
10975,172
415,852
170,478
77,151
20,37
696,342
956,621
1355,466
1983,883
120,387
4729,861
4946,686
4873,552
112,996
118,195
18,167
216,349
5357,734
5444,635
5446,107
5438,140
5358,152
6327,904
142,662
16,170
31,889
914,939
969,377
126,274
88,917
6943,496
657,556
7982,834
7765,925
7973,792
7013,588
68,239
576,496
798,990
8116,361
9166,394
2170,972
17,279
2986,953
8293,453
8840,855
224,193
369,332
435,470
330,320
422,359
615,41
1276,177
1629,459
1805,148
771,154
38,37
27,81
459,902
553,560
647,344
1138,509
1199,989
496,185
86,601
508,80
9,861
21,394
18,19
29,278
580,985
955,996
56,901
549,519
19,430
28,799
1114,678
1051,842
7277,145
1064,75
54,700
6964,772
880,287
989,93
115,684
26,356
28,227
746,314
507,571
1363,915
1561,492
1613,746
2071,500
11,817
273,372
20,551
56,742
859,847
1210,376
514,490
673,584
142,515
23,381
274,930
30,761
641,539
907,55
948,103
6820,500
6833,425
1300,103
1844,959
17,90
15,308
638,899
616,847
960,249
1197,749
1723,212
1108,114
2333,814
114,555
15,895
275,159
13,269
1043,93
1077,761
1051,781
8271,984
321,657
62,163
149,18
234,163
14,164
19,627
830,80
1239,131
881,417
1755,356
1795,822
760,976
42,907
14,899
12,4
18,263
1226,635
680,214
1539,759
18,237
2455,675
1305,978
397,329
19,366
300,225
101,295
32,612
151,951
338,178
20,162
12,169
46,114
20,764
27,478
170,444
964,190
1594,145
2189,587
129,332
17,915
83,437
57,134
12,263
88,195
103,678
6898,840
1267,971
1740,213
1617,797
2416,727
2098,279
19,149
16,18
58,154
81,498
1325,273
976,289
1067,74
1291,970
1145,625
2054,905
23,539
382,103
154,60
33,517
349,32
284,705
29,34
37,40
45784,221
45769,852
37620,280
37647,144
45783,215
38566,980
38481,408
38951,666
24445,395
47737,951
68,20
43,28
1481,315
1571,692
1666,56
1410,141
2562,718
2560,992
2941,876
10540,946
1088,891
2006,819
2430,270
2656,234
2464,808
2786,583
1691,371
10769,785
10763,349
20,449
158,751
285,459
13,241
552,63
400,621
305,524
50,854
8001,426
8359,685
894,565
8214,979
1868,921
1714,500
10719,644
292,452
532,645
50,202
11099,662
1648,562
37,618
13,895
788,158
37,342
124,325
143,940
34,644
522,986
643,522
1165,698
1483,757
1729,559
6281,475
6436,871
16,17
23,472
21,723
73,586
18,771
377,354
1276,624
943,432
308,539
45,551
16,562
331,177
9552,478
459,146
781,675
759,476
1257,917
14,932
274,603
25,299
58,81
191,654
1304,622
1037,815
13,756
14,143
17,900
14,378
7146,983
22,181
9,114
104,910
60,167
11,689
866,274
36,363
845,171
80,911
27,374
30,126
16,24
76,160
13,352
11,972
12,222
438,53
198,615
370,554
324,324
26,916
76,333
322,870
13,884
12,117
16,838
1329,623
57,175
32,338
1346,674
32,88
17,84
9,43
26,343
11,67
30,184
13,279
1469,680
1511,315
1785,732
193,941
15,495
22,799
1023,167
831,58
1804,538
2326,340
2653,895
16,323
3937,770
99,123
43,545
372,440
2020,744
2051,267
2079,564
3108,374
3038,578
3183,648
2937,402
20,231
12,586
34,246
202,77
422,933
9,22
119,111
2521,396
2354,355
2500,222
42,455
50,831
17,3
121,86
10,683
1224,786
785,419
528,26
649,298
510,561
38,406
70,625
128,338
340,997
537,164
12,103
385,490
13,461
16,262
439,990
14,556
167,812
228,306
32,960
15,450
717,178
850,808
866,788
997,27
1193,876
34,859
45,945
11,648
25,454
526,591
354,685
5820,215
5888,600
5883,974
6569,590
36,141
130,134
11,218
16,69
357,350
396,365
350,562
4613,492
4648,556
4784,993
45,263
34,885
194,705
55,18
353,35
288,74
582,840
759,766
230,373
6467,949
7,648
25,525
132,584
27,272
74,636
700,751
310,352
5711,27
6251,723
5193,288
24,454
164,675
194,178
8,828
352,318
12,248
6388,981
6131,259
6400,998
6974,771
15,346
82,900
86,294
13,515
291,86
346,333
6606,499
6573,812
7408,248
7133,598
52,181
21,325
89,243
11,153
16,880
25,11
8480,441
8493,614
1448,396
1714,687
2221,494
3083,916
10809,761
104,657
20210,964
12415,960
2223,281
2911,593
2900,246
3252,681
3053,343
3868,591
36,67
143,117
88,80
3637,415
3668,616
3725,812
3767,362
3992,73
4550,618
13414,861
128,715
45,294
206,358
298,815
226,426
4867,806
5194,196
5223,767
5421,932
5699,812
16,730
248,119
129,114
298,434
7068,903
6987,850
7739,969
7981,760
8164,895
7417,580
154,7
13,55
21,698
7804,903
7702,701
7899,840
8982,514
9247,978
9285,431
9340,490
52,36
29,725
16,165
13,36
572,428
84,349
26,986
7687,984
8175,776
8136,461
25,137
61,903
295,149
329,808
399,51
624,389
13,67
511,569
14,76
6658,971
29,435
161,192
13,108
25,492
307,834
66,126
69,840
389,653
73,751
5450,781
86,965
26,38
293,297
75,26
612,797
820,648
18,335
13,883
60,77
3813,903
20,240
94,860
66,98
19,436
470,302
381,699
18,690
10,139
20,454
11,179
31,947
22,358
34,612
13,246
13,366
866,683
1001,80
930,762
1154,373
5035,872
195,63
111,988
91,396
44,146
438,267
263,15
368,249
458,781
394,212
518,51
85,829
59,459
13,536
454,295
698,792
411,42
750,586
1072,892
2049,883
2895,675
32,509
1315,304
71,508
54,670
13,488
1019,102
14,498
5052,996
5169,741
5220,661
44,908
49,744
40,766
681,143
748,547
18,148
91,251
104,849
67,393
569,526
143,360
84,772
27,89
13,489
22,204
22,967
1002,639
544,211
797,197
701,920
209,177
14,951
40,115
265,648
971,976
1014,281
2109,967
25,1
49,835
826,488
68,742
15,963
64,143
137,843
13,287
672,300
864,975
1128,72
1601,678
1595,816
34,624
21,299
371,211
60,854
224,121
386,955
19,567
14,499
27,675
13,353
56,496
20,223
15,949
16,277
1117,327
1384,428
1849,999
1367,98
57,116
525,133
54,493
26,729
84,600
329,387
391,34
392,593
21,296
197,455
226,742
635,321
96,227
234,255
17,936
217,501
291,601
25,844
61,818
61,779
82,628
75,819
57,164
324,292
71,145
1421,370
18,512
854,443
791,722
14,942
41,28
14,577
101,730
11,255
192,747
934,17
1447,748
1161,654
1540,527
25,775
305,792
779,692
27,217
59,606
80,316
14,160
178,163
2399,542
2368,863
2747,805
2598,338
2148,147
2683,869
22,79
40,750
27,804
18,765
3656,193
3668,789
3779,225
3723,319
4464,982
4269,531
130,926
57,38
937,630
14,190
24,13
948,346
423,327
518,38
5292,986
5426,909
75,810
146,286
11,29
440,848
515,715
702,157
1107,776
1178,706
1387,136
3610,542
125,844
332,320
64,273
13,918
685,572
969,622
1095,449
15,443
3579,668
4014,900
146,761
225,438
35,66
301,608
176,215
2164,972
1931,815
2989,878
2887,788
2365,523
27,62
29,369
17,952
1496,501
1141,305
1073,555
1461,538
5203,944
5231,524
4937,301
156,843
228,175
197,510
196,50
206,86
363,932
517,332
634,351
1237,979
118,116
10,762
9,61
28,568
12,436
566,6
691,815
473,765
670,225
820,446
16,680
252,789
302,776
906,16
16,361
427,556
755,854
1909,745
63,255
9,992
165,185
30,359
2909,986
3306,454
3219,569
3046,540
3619,125
3238,351
3561,247
4591,892
245,743
133,567
35,374
10,487
14,789
11,417
5080,737
4896,542
6940,949
4584,201
5142,169
85,490
32,561
7,20
24,450
20,159
6514,960
6689,295
6404,191
6719,248
6773,106
749,873
1098,247
7410,361
1707,261
42,770
32,328
116,35
16,457
333,441
360,440
332,352
3473,840
3525,864
4048,917
75,223
29,370
274,68
16,206
29,323
14,538
244,302
6619,934
6736,939
6771,632
107,286
331,261
37,643
36,288
12,425
173,434
13,522
374,465
41,543
11775,903
4974,276
5021,240
5021,505
5785,940
6175,916
6305,418
6521,937
5835,527
31,122
9,21
45,67
16792,527
4555,689
4532,414
4603,806
4679,310
4755,246
5519,923
184,821
14,186
36,14
11252,898
10533,221
11005,266
4609,481
12718,784
12019,597
13359,621
13409,754
13881,614
7825,108
8082,404
7999,762
9702,916
9634,424
9740,675
9792,482
7997,109
9684,960
8480,516
29,98
7700,204
7673,724
7552,937
8836,214
8664,202
9001,820
8788,341
9251,401
9141,313
21,7
30,719
262,58
501,10
63,814
4990,385
5253,782
5360,938
4854,884
4849,941
153,393
25,571
276,148
284,387
8598,456
8612,942
9338,959
9344,702
9602,830
11,463
39,48
277,28
23729,809
11242,934
9622,868
11311,579
12032,943
11227,630
11426,278
22,46
23,81
9196,618
9296,692
9242,488
10166,860
10036,907
10356,999
10839,579
28,64
10590,658
10278,401
10430,367
9825,281
23,644
9,519
16,82
289,173
10,70
16,438
80,982
12,676
12,109
316,937
544,708
108,641
606,16
231,976
332,945
75,138
1924,686
849,990
1042,989
1144,628
74,483
14,398
551,842
870,648
762,504
1149,648
1214,727
295,577
9,495
11731,925
589,580
935,729
1771,888
1127,165
11703,333
244,434
20,448
708,163
439,191
41,325
11983,940
2533,430
1778,572
800,217
22793,997
1202,917
625,192
1319,603
551,355
362,812
1675,857
189,940
26,572
11,237
36,492
2054,969
2192,553
2032,723
2395,524
2850,932
2984,180
3073,132
3429,871
123,62
665,610
15788,472
777,92
1265,145
1640,494
17824,975
1748,430
1636,951
1899,55
160,398
18,967
11,275
1463,797
1977,602
2341,284
2454,873
1807,243
1869,321
18,31
1098,382
12261,959
45,575
19,10
1001,409
2203,660
2143,889
12690,284
12564,595
2502,638
2686,267
3330,954
3524,329
4740,638
28,71
7,90
17962,888
17987,454
17883,827
3355,167
3395,404
3912,869
4230,764
4818,951
40,81
2868,237
3007,193
2718,939
2807,306
3032,140
4178,785
3503,277
4861,651
27,223
16938,776
3580,621
3797,670
4466,536
4800,723
30,93
19856,868
19876,729
6121,122
21277,656
28,88
36139,960
21399,400
4194,376
21795,872
21856,457
5175,241
5114,416
22626,784
94,249
203,183
16,99
6444,926
6916,979
6911,487
7014,623
7296,627
18481,952
19777,817
6706,506
6717,319
6937,113
6860,326
8087,726
7121,72
8212,504
9477,261
9568,526
148,567
8,674
68,33
855,272
908,54
877,795
1140,475
1272,587
1416,934
172,445
77,266
22,373
14,585
81,743
1101,976
1266,304
1845,808
